title,published_at,channel_title,duration,view_count,like_count,comment_count,category
Charli xcx - Guess featuring Billie Eilish (official video),2024-08-01 22:00:24+00:00,Charli xcx,PT2M41S,4401361,410792,25330,Music
Team USA smashes WORLD RECORD by over a FULL SECOND in mixed 4x400 relay heat | Paris Olympics,2024-08-02 19:32:28+00:00,NBC Sports,PT6M40S,2247134,34881,2101,Sports
Shelly-Ann Fraser-Pryce & Sha'Carri Richardson THROW DOWN  In Women's 100 Meters || 2024 Olympics,2024-08-02 19:40:39+00:00,Total Running Productions,PT8M45S,1090026,6665,573,Sports
Nessa Barrett - PASSENGER PRINCESS (Official Music Video),2024-08-01 16:00:08+00:00,Nessa Barrett,PT2M54S,1056252,42232,2061,Music
Houston Texans vs. Chicago Bears Highlights | 2024 Hall of Fame Game,2024-08-02 03:42:03+00:00,NFL,PT6M1S,656403,9425,1420,Sports
Jordan Adetunji - KEHLANI REMIX (feat. Kehlani) [Official Video],2024-08-02 14:00:06+00:00,Jordan Adetunji,PT3M32S,464557,48104,1894,Music
Unstoppable Simone Biles Wins 6th Gold Medal With Spectacular Floor Routine! | Paris Olympics,2024-08-01 23:00:26+00:00,Peacock,PT5M26S,1007717,11377,727,Sports
The LOX: Tiny Desk Concert,2024-08-02 09:01:01+00:00,NPR Music,PT17M45S,490503,39780,4558,Music
Jelly Roll - Liar (Official Music Video),2024-08-02 12:30:07+00:00,Jelly Roll,PT3M27S,261942,21257,1311,Music
MURDER DRONES Series Finale [TRAILER],2024-08-02 19:00:32+00:00,GLITCH,PT1M12S,1559980,193284,21385,Film & Animation
I Collected EVERY NEW WOLF in Minecraft Hardcore,2024-08-02 12:00:11+00:00,aCookieGod,PT28M43S,1004883,44894,3884,Gaming
INCURSIONS // Official Console Cinematic Trailer - VALORANT,2024-08-02 16:00:07+00:00,VALORANT,PT3M9S,967629,71667,2932,Gaming
Chad Smith Hears Bring Me The Horizon For The First Time,2024-08-02 12:00:08+00:00,Drumeo,PT11M53S,747502,45828,3609,Education
Tay B x Lil Baby - ALL TEN (Official Music Video),2024-08-02 04:02:42+00:00,Tay B,PT3M24S,286286,10637,544,Music
NoCap - Maliboo [Official Music Video],2024-08-02 02:00:08+00:00,NoCap,PT3M30S,210516,17455,975,Music
It's Clash Anime Season! Happy 12th Clashiversary!,2024-08-01 08:00:00+00:00,Clash of Clans,PT35S,4892731,158459,6802,Gaming
NBA 2K25 | Official Gameplay Trailer,2024-08-01 15:01:04+00:00,NBA 2K,PT1M58S,390949,9826,1541,Gaming
"Jessie Murph, Teddy Swims - Dirty (Official Video)",2024-08-02 04:00:06+00:00,JessieMurphVEVO,PT3M23S,168959,9361,468,Music
Polo G - We Uh Shoot (feat. Lil Durk) (Official Lyric Video),2024-08-02 04:00:38+00:00,Polo G,PT2M35S,184909,23307,2065,Music
Brawl Stars Animation: PAINT BRAWL STARTS NOW!,2024-08-01 09:01:54+00:00,Brawl Stars,PT52S,5622857,183999,10966,Gaming
FLO - Check,2024-08-02 15:00:07+00:00,FloLikeThisVEVO,PT2M47S,245497,36083,1781,Music
Tech Products That Should Not Exist,2024-07-31 17:00:03+00:00,Danny Gonzalez,PT56M12S,3010521,201380,10711,Comedy
Why I Left Donut,2024-08-01 17:13:26+00:00,Speeed,PT46M11S,259659,40459,4801,Autos & Vehicles
HELLUVA SHORTS 2 // MISSION: ANTARCTICA // HELLUVA BOSS,2024-07-31 17:00:40+00:00,Vivziepop,PT4M20S,3446165,402849,19125,Film & Animation
A$AP ROCKY - HIGHJACK (Audio),2024-08-02 04:00:07+00:00,ASAPROCKYUPTOWN,PT3M14S,280269,28569,1984,Music
"Sha'Carri Richardson arrives, STORMS through 100m heat in Paris Olympics debut | NBC Sports",2024-08-02 10:37:32+00:00,NBC Sports,PT2M44S,1343752,23527,1663,Sports
A Star Is About to Explode (And You'll Be Able to See It),2024-08-01 21:19:08+00:00,StarTalk,PT8M45S,1432126,52533,3053,Science & Technology
Billy Strings - Leadfoot (Official Music Video),2024-08-02 04:00:09+00:00,Billy Strings,PT3M38S,208737,9324,743,Music
"LOVE ISLAND'S KAYLOR, AARON, AND ROB GET GRILLED BY DAVE PORTNOY — BFFs EP. 186",2024-08-01 00:00:07+00:00,"BFFs: Dave Portnoy, Josh Richards & Bri Chickenfry",PT1H25M49S,386726,6574,1166,People & Blogs
I was New York's Cheeseball Man,2024-08-01 21:30:07+00:00,Anthony Po,PT9M40S,542073,67901,4240,Entertainment
