title,published_at,channel_title,duration,view_count,like_count,comment_count,category,duration_seconds,duration_range,publish_hour,publish_day_of_week,publish_minute,publish_time
TARS Powered by ChatGPT has a Humor Setting #shorts,2024-07-01 20:06:29+00:00,gptars,PT59S,2887955,132726,2953,Science & Technology,59.0,0-5 min,20,Monday,6,20.1
Smart Charger,2024-07-02 17:18:25+00:00,Okwute TV,PT46S,3115558,57063,165,Science & Technology,46.0,0-5 min,17,Tuesday,18,17.3
Better Than Smart Phones☠️🤯 | #trollface,2024-07-03 03:31:42+00:00,Not Sanu Moments,PT11S,17254362,515485,8451,Science & Technology,11.0,0-5 min,3,Wednesday,31,3.5166666666666666
My Phone Battery is Not My Problem,2024-07-03 16:00:23+00:00,BumpyBear,PT20S,30953212,1183200,19521,Science & Technology,20.0,0-5 min,16,Wednesday,0,16.0
i hate inkjet printers #shorts,2024-07-04 17:24:22+00:00,mryeester,PT1M1S,1947185,150299,7166,Science & Technology,61.0,0-5 min,17,Thursday,24,17.4
Kendrick Lamar - Not Like Us,2024-07-04 23:00:09+00:00,KendrickLamarVEVO,PT5M55S,88411080,4249056,262823,Music,355.0,5-10 min,23,Thursday,0,23.0
That's called real driving skills and patience 🔥,2024-07-04 23:30:12+00:00,GK Bikes & cars,PT35S,19246595,1055334,6233,Autos & Vehicles,35.0,0-5 min,23,Thursday,30,23.5
POCO X6 PRO😈 Vs iPHONE 15 PRO💀Vs POCO F6 PRO😱 VsiQOO 12Vs 8GBvs4GBVs-PUBG TEST #pocox6pro #iPhone,2024-07-05 13:34:32+00:00,Nir Gaming,PT16S,7026804,192958,1720,Science & Technology,16.0,0-5 min,13,Friday,34,13.566666666666666
"Forget Samsung Galaxy S24 Ultra, A New MONSTER Phone is BORN w/ 22000mAh Battery",2024-07-06 11:00:01+00:00,sakitech,PT13M31S,2045843,17457,2077,Science & Technology,811.0,10-20 min,11,Saturday,0,11.0
تجربة أغرب توصيلة شحن ضد القطع تماما,2024-07-07 10:38:28+00:00,صدام العزي,PT56S,63518765,1654668,2606,Science & Technology,56.0,0-5 min,10,Sunday,38,10.633333333333333
"$1 vs $100,000 Slow Motion Camera!",2024-07-07 14:26:44+00:00,Hafu Go,PT44S,28525174,1270016,2142,Science & Technology,44.0,0-5 min,14,Sunday,26,14.433333333333334
Mobile Wheel Polisher ##❗️❗️,2024-07-07 17:24:38+00:00,ToolBox Talk 20,PT19S,15851412,428392,926,Autos & Vehicles,19.0,0-5 min,17,Sunday,24,17.4
